Designator,Mid X,Mid Y,Layer,Rotation
C1,49.502mm,13.322mm,T,360
C10,34.135mm,27.292mm,T,270
C11,27.184mm,31.2252mm,T,90
C12,28.166mm,13.322mm,T,270
C13,10.513mm,21.958mm,T,360
C14,13.307mm,12.687mm,T,90
C15,10.513mm,19.545mm,T,360
C2,20.866mm,26.149mm,T,180
C3,20.866mm,23.736mm,T,180
C4,41.882mm,23.355mm,T,180
C5,53.184mm,22.0219mm,T,90
C6,46.962mm,23.99mm,T,270
C7,42.517mm,31.229mm,T,90
C8,29.436mm,31.229mm,T,90
C9,40.358mm,27.165mm,T,90
D1,18.184mm,29.4425mm,T,360
D2,5.884mm,16.23mm,T,270
D3,11.326mm,29.4425mm,T,360
Q1,24.864mm,23.99mm,T,180
Q2,16.482mm,18.148mm,T,180
Q3,10.386mm,16.497mm,T,270
R1,20.673mm,15.1mm,T,180
R10,16.482mm,15.354mm,T,360
R11,16.355mm,25.006mm,T,0
R12,42.517mm,27.038mm,T,90
R13,10.513mm,11.671mm,T,360
R14,5.884mm,11.63mm,T,90
R15,36.294mm,27.292mm,T,270
R16,10.513mm,13.703mm,T,360
R17,31.3839mm,13.8376mm,T,180
R18,31.976mm,31.102mm,T,270
R19,10.64mm,26.56mm,T,180
R2,24.864mm,26.784mm,T,360
R20,27.785mm,26.784mm,T,270
R21,13.307mm,16.37mm,T,270
R22,10.64mm,24.117mm,T,180
R23,16.355mm,20.942mm,T,180
R24,34.643mm,13.195mm,T,270
R26,50.184mm,22.9752mm,T,180
R27,54.7mm,17.455mm,T,270
R3,16.355mm,22.974mm,T,180
R4,50.184mm,21.0684mm,T,180
R5,13.688mm,19.926mm,T,90
R6,49.375mm,18.148mm,T,90
R7,44.803mm,23.99mm,T,90
R8,25.118mm,15.1mm,T,180
R9,51.407mm,18.148mm,T,90
U1,22.832mm,19.164mm,T,360
U2,44.295mm,19.164mm,T,360
U3,30.452mm,26.911mm,T,180
U4,39.342mm,31.356mm,T,180
