"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
""
"C5","Cap,0805","-13.8255mm","22.0219mm","-13.8255mm","22.0219mm","-13.8255mm","21.0719mm","T","90.00","08055C104JAT2A"
"R26","res,_0805,_HD","-16.8255mm","22.9752mm","-16.8255mm","22.9752mm","-15.8755mm","22.9752mm","T","180.00","Vishay / Dale CRCW080510K0FKTA"
"R25","Res,TH,POT,TopAdj","-10.0755mm","18.9752mm","-10.0755mm","18.9752mm","-10.0755mm","21.4752mm","B","270.00","CT94EW103"
"C11","Cap,0805","-39.8255mm","31.2252mm","-39.8255mm","31.2252mm","-39.8255mm","30.2752mm","T","90.00","08055C104JAT2A"
"M6","Standoff,Hex,M3,8mm","-51.0095mm","-11.2748mm","-52.5095mm","-11.2748mm","-51.0095mm","-11.2748mm","T","0.00","M3 hex Standoff"
"M5","Standoff,Hex,M3,8mm","-16.0095mm","-11.2748mm","-17.5095mm","-11.2748mm","-16.0095mm","-11.2748mm","T","0.00","M3 hex Standoff"
"R19","res,_0805,_HD","-56.3695mm","26.56mm","-56.3695mm","26.56mm","-55.4195mm","26.56mm","T","180.00","Vishay Dale CRCW0805221RFKTA"
"D3","LED,SMD,Bottom_Entry,1206","-55.6835mm","29.4425mm","-57.4835mm","29.43mm","-57.4835mm","29.43mm","T","360.00","LTST-C230KGKT"
"R17","Res,SMD,POT,TC33_Series","-35.6257mm","13.8376mm","-35.6255mm","13.93mm","-34.6257mm","15.4876mm","T","180.00","Comment"
"M3","Standoff,Hex,M3,8mm","-63.0095mm","4.73mm","-63.0095mm","4.73mm","-63.0095mm","4.73mm","B","180.00","M3 hex Standoff"
"S1","2SMPP03,6-SMD_Module","-33.5095mm","19.291mm","-33.5095mm","19.291mm","-29.1345mm","18.021mm","T","180.00","2SMPP03"
"U4","SOT23-3","-27.6675mm","31.356mm","-27.6675mm","31.356mm","-28.6251mm","30.2972mm","T","180.00","Shunt Regulator,2.5Vdc TL431IDBZT"
"U3","SOT23-5","-36.5575mm","26.911mm","-36.5575mm","26.911mm","-37.5074mm","25.6108mm","T","180.00","TLV9001IDBVR"
"U2","SOIC-8","-22.7145mm","19.164mm","-22.7145mm","19.164mm","-25.1145mm","21.069mm","T","360.00","MCP6N11T-010E/SN"
"U1","SOIC-8","-44.1775mm","19.164mm","-44.1775mm","19.164mm","-46.5775mm","21.069mm","T","360.00","LM393DT"
"R23","res,_0805,_HD","-50.6545mm","20.942mm","-50.6545mm","20.942mm","-49.7045mm","20.942mm","T","180.00","CR0805-JW-105ELF"
"R22","res,_0805,_HD","-56.3695mm","24.117mm","-56.3695mm","24.117mm","-55.4195mm","24.117mm","T","180.00","Res,0805,100kO,1%,100ppm,CRCW0805100KFKEA"
"R21","res,_0805,_HD","-53.7025mm","16.37mm","-53.7025mm","16.37mm","-53.7025mm","17.32mm","T","270.00","Vishay CRCW08051K00JNEA"
"R20","res,_0805,_HD","-39.2245mm","26.784mm","-39.2245mm","26.784mm","-39.2245mm","27.734mm","T","270.00","Vishay / Dale CRCW080510K0FKTA"
"R18","res,_0805,_HD","-35.0335mm","31.102mm","-35.0335mm","31.102mm","-35.0335mm","32.052mm","T","270.00","CRGCQ0805F15K"
"R16","res,_0805,_HD","-56.4965mm","13.703mm","-56.4965mm","13.703mm","-57.4465mm","13.703mm","T","360.00","Vishay CRCW08051K00JNEA"
