"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
""
"C5","Cap,0805","19.684mm","43.2966mm","19.684mm","43.2966mm","19.684mm","42.3466mm","T","90.00","08055C104JAT2A"
"R26","res,_0805,_HD","16.684mm","44.25mm","16.684mm","44.25mm","17.634mm","44.25mm","T","180.00","Vishay / Dale CRCW080510K0FKTA"
"R25","Res,TH,POT,TopAdj","23.434mm","40.25mm","23.434mm","40.25mm","23.434mm","42.75mm","B","270.00","CT94EW103"
"C11","Cap,0805","-6.316mm","52.5mm","-6.316mm","52.5mm","-6.316mm","51.55mm","T","90.00","08055C104JAT2A"
"M6","Standoff,Hex,M3,8mm","-17.5mm","10mm","-19mm","10mm","-17.5mm","10mm","T","0.00","M3 hex Standoff"
"M5","Standoff,Hex,M3,8mm","17.5mm","10mm","16mm","10mm","17.5mm","10mm","T","0.00","M3 hex Standoff"
"R19","res,_0805,_HD","-22.86mm","47.8348mm","-22.86mm","47.8348mm","-21.91mm","47.8348mm","T","180.00","Vishay Dale CRCW0805221RFKTA"
"D3","LED,SMD,Bottom_Entry,1206","-22.174mm","50.7172mm","-23.974mm","50.7048mm","-23.974mm","50.7048mm","T","360.00","LTST-C230KGKT"
"R17","Res,SMD,POT,TC33_Series","-2.1162mm","35.1123mm","-2.116mm","35.2048mm","-1.1161mm","36.7623mm","T","180.00","Comment"
"M3","Standoff,Hex,M3,8mm","-29.5mm","26.0048mm","-29.5mm","26.0048mm","-29.5mm","26.0048mm","B","180.00","M3 hex Standoff"
"S1","2SMPP03,6-SMD_Module","0mm","40.5658mm","0mm","40.5658mm","4.375mm","39.2958mm","T","180.00","2SMPP03"
"U4","SOT23-3","5.842mm","52.6308mm","5.842mm","52.6308mm","4.8844mm","51.572mm","T","180.00","Shunt Regulator,2.5Vdc TL431IDBZT"
"U3","SOT23-5","-3.048mm","48.1858mm","-3.048mm","48.1858mm","-3.9979mm","46.8855mm","T","180.00","TLV9001IDBVR"
"U2","SOIC-8","10.795mm","40.4388mm","10.795mm","40.4388mm","8.395mm","42.3438mm","T","360.00","MCP6N11T-010E/SN"
"U1","SOIC-8","-10.668mm","40.4388mm","-10.668mm","40.4388mm","-13.068mm","42.3438mm","T","360.00","LM393DT"
"R23","res,_0805,_HD","-17.145mm","42.2168mm","-17.145mm","42.2168mm","-16.195mm","42.2168mm","T","180.00","CR0805-JW-105ELF"
"R22","res,_0805,_HD","-22.86mm","45.3918mm","-22.86mm","45.3918mm","-21.91mm","45.3918mm","T","180.00","Res,0805,100kO,1%,100ppm,CRCW0805100KFKEA"
"R21","res,_0805,_HD","-20.193mm","37.6448mm","-20.193mm","37.6448mm","-20.193mm","38.5948mm","T","270.00","Vishay CRCW08051K00JNEA"
