Field=Comment~String~Comment~100|Field=Description~String~Description~100|Field=Designator~String~Designator~100|Field=Footprint~String~Footprint~100|Field=LibRef~String~LibRef~100|Field=Manufacturer 1~String~Manufacturer 1~100|Field=Manufacturer 2~String~Manufacturer 2~100|Field=Manufacturer 3~String~Manufacturer 3~100|Field=Manufacturer 4~String~Manufacturer 4~100|Field=Manufacturer Part Number 1~String~Manufacturer Part Number 1~100|Field=Manufacturer Part Number 2~String~Manufacturer Part Number 2~100|Field=Manufacturer Part Number 3~String~Manufacturer Part Number 3~100|Field=Manufacturer Part Number 4~String~Manufacturer Part Number 4~100|Field=Quantity~Integer~Quantity~100|Field=Supplier 1~String~Supplier 1~100|Field=Supplier 2~String~Supplier 2~100|Field=Supplier 3~String~Supplier 3~100|Field=Supplier 4~String~Supplier 4~100|Field=Supplier Currency 1~String~Supplier Currency 1~100|Field=Supplier Currency 2~String~Supplier Currency 2~100|Field=Supplier Currency 3~String~Supplier Currency 3~100|Field=Supplier Currency 4~String~Supplier Currency 4~100|Field=Supplier Order Qty 1~Integer~Supplier Order Qty 1~100|Field=Supplier Order Qty 2~Integer~Supplier Order Qty 2~100|Field=Supplier Order Qty 3~Integer~Supplier Order Qty 3~100|Field=Supplier Order Qty 4~Integer~Supplier Order Qty 4~100|Field=Supplier Part Number 1~String~Supplier Part Number 1~100|Field=Supplier Part Number 2~String~Supplier Part Number 2~100|Field=Supplier Part Number 3~String~Supplier Part Number 3~100|Field=Supplier Part Number 4~String~Supplier Part Number 4~100|Field=Supplier Stock 1~Integer~Supplier Stock 1~100|Field=Supplier Stock 2~Integer~Supplier Stock 2~100|Field=Supplier Stock 3~Integer~Supplier Stock 3~100|Field=Supplier Stock 4~Integer~Supplier Stock 4~100|Field=Supplier Subtotal 1~Float~Supplier Subtotal 1~100|Field=Supplier Subtotal 2~Float~Supplier Subtotal 2~100|Field=Supplier Subtotal 3~Float~Supplier Subtotal 3~100|Field=Supplier Subtotal 4~Float~Supplier Subtotal 4~100|Field=Supplier Unit Price 1~Float~Supplier Unit Price 1~100|Field=Supplier Unit Price 2~Float~Supplier Unit Price 2~100|Field=Supplier Unit Price 3~Float~Supplier Unit Price 3~100|Field=Supplier Unit Price 4~Float~Supplier Unit Price 4~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~Pressure Senor breakout.PrjPcb|ReportField=ProjectFullPath~C:\Users\shawn\OneDrive\Shawn\circuitstudio projects\Pressure Sensor Breakout\Pressure Senor breakout.PrjPcb|ReportField=Title~BOM_PartType For Project [Pressure Senor breakout.PrjPcb] (No PCB Document Selected)|ReportField=TotalQuantity~53|ReportField=ReportTime~11:45:20 PM|ReportField=ReportDate~12/5/2020|ReportField=ReportDateTime~12/5/2020 11:45:20 PM|ReportField=OutputName~BOM_PartType|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~|ReportField=CurrentTime~|ReportField=Date~|ReportField=DocumentFullPathAndName~|ReportField=DocumentName~|ReportField=DocumentNumber~|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~|ReportField=Organization~|ReportField=ProjectName~|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~|ReportField=SheetTotal~|ReportField=Time~|ReportField=Title~|ReportField=DataSourceFileName~Pressure Senor breakout.PrjPcb|ReportField=DataSourceFullPath~C:\Users\shawn\OneDrive\Shawn\circuitstudio projects\Pressure Sensor Breakout\Pressure Senor breakout.PrjPcb
08055C104JAT2A|Capacitor; Ceramic; Cap 0.1 uF; Tol 5%; Vol-Rtg 50 VDC; SMT; 0805; X7R; Tape & Reel|C1, C2, C3, C4, C5, C6, C7, C8, C9, C10, C11, C12, C13|Cap,0805|Cap,0805,100nf,50V,5%,08055C104JAT2A|Kyocera AVX||||08055C104JAT2A||||13|Digi-Key||||USD||||13||||478-3352-1-ND||||1519520||||1.872||||0.144|||
Cap|CL21 Series 10 uF 6.3V ±10 % Tolerance X5R SMT Multilayer Ceramic Capacitor|C14, C15|Cap,0805|Cap,0805,10uf,6.3V,10%,CL21A106KQFNNNG|||||||||2||||||||||||||||||||||||||||
TE Connectivity 282841-8|Buchanan; Conn; Term Blk; PCB; 8; 5.08 mm; 30-12 AWG; Green; 17.5 A; 300 V|J1|Conn, wire to pcb terminal,282841-8|Connector, Terminal, PCB, 8 Pos,282841-8|TE Connectivity||||282841-8||||1|Digi-Key||||USD||||1||||A98345-ND||||3258||||4.2||||4.20|||
Generic Header|Generic Header 3 pos header 0.1"|J2|Header,3POS,0.1",Vert|Header 1x3,0.1",TH,Generic|||||||||1||||||||||||||||||||||||||||
M3 hex Standoff|HEX STANDOFF M3,generic|M1, M2, M3, M4|Standoff,Hex,M3,8mm|Mech,Standoff, M3, Hex|Keystone Electronics||||24314||||4|Digi-Key||||USD||||4||||36-24314-ND||||5837||||4.12||||1.03|||
SMBT2222A|NPN Silicon Switching Transistor, 40 V VCEO, 600 mA IC, SOT23, Reel, Green|Q1, Q2|SOT23-3|Trans,40V,600mA,0.33W, SMBT2222A|Infineon|Infineon|Infineon|Infineon|SMBT2222AE6327|MMBT2222ALT1HTSA1|SMBT2222AE6327|MMBT2907ALT1|2|Digi-Key|Digi-Key|Digi-Key|LCSC|USD|USD|USD|AUD|2|2|2|2|SMBT2222AE6327HTSA1CT-ND|MMBT2222ALT1HTSA1CT-ND|SMBT2222AE6327HTSA1DKR-ND|C151510|60605|21235|60605|360|0.44|0.48|0.44|0.4246|0.22|0.24|0.22|0.2123
NPN|NPN Silicon Switching Transistor, 40 V VCEO, 600 mA IC, SOT23, Reel, Green|Q3|SOT23-3|Trans,40V,600mA,0.33W, SMBT2222A|||||||||1||||||||||||||||||||||||||||
Vishay / Dale CRCW080510K0FKTA|RES SMD 10K OHM 1% 1/8W 0805|R1, R3, R7, R8, R10, R15, R19, R20|res, 0805, HD|Res,0805,10.0kO,1%,100 ppm,CRCW080510K0FKTA|Vishay Dale||||CRCW080510K0FKTA||||8|Digi-Key||||USD||||8||||541-3016-1-ND||||588||||1.04||||0.13|||
Vishay CRCW08051K00JNEA|Res Thick Film 0805 1K Ohm 5% 0.125W(1/8W) ±200ppm/C Molded SMD Automotive Paper T/R|R2, R4, R5, R11, R16, R21, R24|res, 0805, HD|Res,0805,1.00 kO,5%,200ppm,CRCW08051K00JNEA|Vishay Dale|Vishay Dale|||CRCW08051K00JNEA|CRCW08051K00JNEA|||7|Digi-Key|Digi-Key|||USD|USD|||10|10|||541-1.0KADKR-ND|541-1.0KACT-ND|||167688|167688|||0.36|0.36|||0.036|0.036||
TNPW080582K5BEEA|82.5 kOhms ±0.1% 0.2W, 1/5W Chip Resistor 0805 (2012 Metric) Anti-Sulfur, Automotive AEC-Q200, Moisture Resistant Thin Film|R6|res, 0805, HD|Res,0805,82.5KO,0.1%,25ppm, TNPW080582K5BEEA|Vishay Dale||||TNPW080582K5BEEA||||1|Digi-Key||||USD||||1||||541-3231-1-ND||||8560||||0.74||||0.74|||
